Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
Beijing Municipality,Beijing Municipality,北京市,北京市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,3.0,11.0,1.0,7.0,2.0,1.0,3.0,7.0,4.0,8.0,12.0,11.0,18.0,8.0,9.0,8.0,23.0,8.0,16.0,9.0,11.0,9.0,17.0,20.0,13.0,9.0,,
Tianjin Municipality,Tianjin Municipality,天津市,天津市,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,10.0,11.0,5.0,8.0,1.0,2.0,6.0,5.0,3.0,3.0,16.0,6.0,4.0,5.0,6.0,,
Xilingol League,Inner Mongolia Autonomous Region,锡林郭勒盟,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
Baotou,Inner Mongolia Autonomous Region,包头市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,,,
Hohhot,Inner Mongolia Autonomous Region,呼和浩特市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tongliao,Inner Mongolia Autonomous Region,通辽市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,
Chifeng,Inner Mongolia Autonomous Region,赤峰市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,
Hulunbuir,Inner Mongolia Autonomous Region,呼伦贝尔市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,
Bayannur,Inner Mongolia Autonomous Region,巴彦淖尔市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,,
Ordos,Inner Mongolia Autonomous Region,鄂尔多斯市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,,,
Wuhai,Inner Mongolia Autonomous Region,乌海市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
Ulanqab,Inner Mongolia Autonomous Region,乌兰察布市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
Hinggan League,Inner Mongolia Autonomous Region,兴安盟,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Alxa League,Inner Mongolia Autonomous Region,阿拉善盟,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Shanghai Municipality,Shanghai Municipality,上海市,上海市,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,10.0,5.0,11.0,3.0,4.0,5.0,4.0,5.0,28.0,34.0,16.0,21.0,16.0,9.0,13.0,12.0,16.0,22.0,12.0,7.0,4.0,,,
Nanjing,Jiangsu,南京市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,9.0,5.0,0.0,0.0,5.0,1.0,0.0,,,
Wuxi,Jiangsu,无锡市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,6.0,3.0,1.0,2.0,6.0,6.0,3.0,1.0,2.0,2.0,0.0,1.0,3.0,,,
Xuzhou,Jiangsu,徐州市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,6.0,1.0,3.0,3.0,5.0,14.0,4.0,5.0,4.0,3.0,5.0,3.0,1.0,0.0,2.0,,,
Changzhou,Jiangsu,常州市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,2.0,7.0,0.0,0.0,5.0,0.0,7.0,,,
Suzhou,Jiangsu,苏州市,江苏省,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0,1.0,0.0,9.0,0.0,5.0,0.0,2.0,5.0,4.0,7.0,1.0,7.0,0.0,2.0,,,
Nantong,Jiangsu,南通市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,5.0,4.0,1.0,1.0,1.0,2.0,,,
Lianyungang,Jiangsu,连云港市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,6.0,,,
Huai'an,Jiangsu,淮安市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,2.0,8.0,7.0,0.0,4.0,2.0,1.0,3.0,1.0,7.0,0.0,4.0,,,
Yancheng,Jiangsu,盐城市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,,,
Yangzhou,Jiangsu,扬州市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,
Zhenjiang,Jiangsu,镇江市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
Taizhou,Jiangsu,泰州市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,,,
Suqian,Jiangsu,宿迁市,江苏省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,,,
Hefei,Anhui,合肥市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,7.0,6.0,7.0,3.0,5.0,6.0,1.0,21.0,4.0,11.0,11.0,4.0,2.0,16.0,8.0,8.0,,,
Anqing,Anhui,安庆市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,14.0,3.0,1.0,1.0,0.0,5.0,5.0,9.0,2.0,6.0,4.0,4.0,0.0,5.0,,,
Chizhou,Anhui,池州市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,,,
Ma'anshan,Anhui,马鞍山市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,,,
Fuyang,Anhui,阜阳市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,0.0,6.0,5.0,4.0,5.0,4.0,6.0,17.0,15.0,11.0,9.0,3.0,2.0,5.0,3.0,,,
Suzhou,Anhui,宿州市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,,,
Bengbu,Anhui,蚌埠市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,8.0,9.0,10.0,16.0,25.0,20.0,6.0,6.0,6.0,8.0,,,
Bozhou,Anhui,亳州市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,6.0,10.0,0.0,12.0,11.0,7.0,5.0,3.0,7.0,1.0,6.0,2.0,,,
Huaibei,Anhui,淮北市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,,,
Wuhu,Anhui,芜湖市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,,,
Tongling,Anhui,铜陵市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,,,
Huainan,Anhui,淮南市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,,,
Chuzhou,Anhui,滁州市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
Lu'an,Anhui,六安市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,1.0,5.0,2.0,7.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,,,
Xuancheng,Anhui,宣城市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Huangshan,Anhui,黄山市,安徽省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Fuzhou,Fujian,福州市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiamen,Fujian,厦门市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhangzhou,Fujian,漳州市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quanzhou,Fujian,泉州市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanming,Fujian,三明市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putian,Fujian,莆田市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanping,Fujian,南平市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longyan,Fujian,龙岩市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningde,Fujian,宁德市,福建省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanchang,Jiangxi,南昌市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,6.0,7.0,8.0,11.0,7.0,8.0,7.0,5.0,3.0,14.0,6.0,19.0,19.0,12.0,17.0,16.0,3.0,2.0,3.0,,,,
Xinyu,Jiangxi,新余市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,7.0,2.0,12.0,10.0,12.0,7.0,8.0,8.0,6.0,2.0,,,,
Shangrao,Jiangxi,上饶市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,11.0,4.0,4.0,8.0,8.0,9.0,11.0,13.0,2.0,7.0,4.0,,,,
Jiujiang,Jiangxi,九江市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,6.0,1.0,0.0,2.0,2.0,4.0,0.0,8.0,3.0,11.0,3.0,0.0,4.0,6.0,5.0,9.0,,,,
Yichun,Jiangxi,宜春市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,2.0,0.0,4.0,6.0,3.0,9.0,11.0,5.0,14.0,4.0,8.0,6.0,,,,
Ganzhou,Jiangxi,赣州市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,6.0,6.0,7.0,2.0,4.0,4.0,,,,
Fuzhou,Jiangxi,抚州市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,3.0,2.0,6.0,1.0,6.0,2.0,9.0,1.0,4.0,1.0,6.0,,,,
Pingxiang,Jiangxi,萍乡市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,2.0,,,,
Ji'an,Jiangxi,吉安市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,
Yingtan,Jiangxi,鹰潭市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,,,,
Jingdezhen,Jiangxi,景德镇市,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Ganjiang new area,Jiangxi,赣江新区,江西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Jinan,Shandong,济南市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,,
Qingdao,Shandong,青岛市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,,
Zibo,Shandong,淄博市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,,
Zaozhuang,Shandong,枣庄市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,,
Yantai,Shandong,烟台市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,,
Weifang,Shandong,潍坊市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,,
Jining,Shandong,济宁市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,5.0,2.0,0.0,2.0,0.0,3.0,1.0,8.0,0.0,,
Tai'an,Shandong,泰安市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,6.0,3.0,0.0,1.0,0.0,1.0,1.0,,
Weihai,Shandong,威海市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,2.0,0.0,1.0,,
Rizhao,Shandong,日照市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,
Linyi,Shandong,临沂市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,12.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
Dezhou,Shandong,德州市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,
Liaocheng,Shandong,聊城市,山东省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,6.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,,
